I_real,I_imag,V_real,V_imag
597.6754076653683,210.20509518333688,4.25849,0
608.9090163974386,215.68189119836651,4.26192,0
609.3125605199809,216.94804143293084,4.26022,0
604.5193807838351,216.2765176937352,4.26593,0
589.1462733459357,214.48617491017023,4.27356,0
545.1728086229068,202.486959042333,4.26743,0
514.8947410829255,192.53853188685912,4.2591,0
493.94332040571794,181.1458880862997,4.26615,0
491.6525901936473,181.07955786581056,4.26782,0
482.18326664842994,176.41715226487787,4.25385,0
478.8336211887332,177.10847710735013,4.25584,0
468.49769597626573,174.75099327022585,4.25551,0
466.7253140381205,172.99860338169728,4.24953,0
464.08656240586333,172.84222452372197,4.2499,0
459.1422739071796,170.15965618308144,4.24824,0
446.91949768027655,175.24818171441692,4.23952,0
451.13444100622587,172.05945589243308,4.23803,0
463.0801731765675,171.2744970267326,4.24817,0
467.4943915040972,172.12300307690964,4.24384,0
478.0257323695997,173.4063183061903,4.25654,0
498.1485891337861,176.20200223895964,4.24997,0
510.43832488006086,179.08367836750924,4.25709,0
521.3465114824199,180.57441195836947,4.25208,0
525.9005658530209,182.2113773052397,4.25911,0
526.2120893816656,180.6548473459322,4.26332,0
527.9970320288287,181.8635966012661,4.26049,0
532.4569786472954,183.2919877512205,4.25684,0
520.5639378888296,182.12591409701892,4.26161,0
504.0170374032356,179.0148722963135,4.26205,0
488.85905380558506,175.25775628287647,4.257,0
480.38092837905845,176.52222811497106,4.26599,0
472.42834095957517,171.5203424063263,4.25257,0
467.3823127073511,172.35486639293907,4.26104,0
454.55957091237207,167.50435842675907,4.25773,0
453.637672060589,167.74362417525586,4.25258,0
443.988693883987,166.29021428572185,4.25197,0
447.1317197733319,165.81446240163314,4.24575,0
443.3988777896964,164.9679418063943,4.24358,0
439.00872120900357,164.12486687712916,4.24503,0
439.9050006095839,161.43165284008575,4.23784,0
441.44316823773363,161.65482218984985,4.23414,0
449.6525467568739,164.28698311204505,4.23969,0
454.5795672527347,165.75296610412866,4.24382,0
465.2055539869519,166.32574835152016,4.24911,0
486.4157588797611,169.99938471190458,4.25171,0
502.8284283036458,175.69256105676556,4.25947,0
509.5281980742235,174.78448528469247,4.25625,0
516.0319950312942,176.2997747957225,4.2564,0
521.9052742854169,179.22416330970492,4.25978,0
523.381977273103,179.21535115803349,4.25565,0
524.1511554721948,180.0058271783529,4.26034,0
518.6375365325905,179.59905070853208,4.26694,0
505.7051702903477,178.4564963866835,4.26959,0
495.76909758549306,177.52547959170778,4.27393,0
478.56460629441915,173.00197463401287,4.26977,0
470.410323285416,168.18237656636458,4.25347,0
459.1420333910686,165.81801187601673,4.25829,0
