time,x,y
182.84,355,416
183.04,361,418
183.24,367,422
183.44,371,424
183.64,375,427
183.84,376,428
184.04,371,432
184.24,372,432
184.44,372,432
184.64,358,425
184.84,348,420
185.04,348,420
185.24,348,422
185.44,350,423
185.64,351,424
185.84,352,424
186.04,355,424
186.24,358,426
186.44,360,427
186.64,363,428
186.84,366,428
187.04,370,430
187.24,374,431
187.44,378,432
187.64,382,434
187.84,386,435
188.04,389,436
188.24,391,437
188.44,389,436
188.64,384,434
188.84,376,430
189.04,367,427
189.24,361,425
189.44,354,421
189.64,349,420
189.84,349,420
190.04,352,421
190.24,357,423
190.44,362,426
190.64,368,428
190.84,375,431
191.04,381,433
191.24,386,434
191.44,389,436
191.64,392,438
191.84,375,429
192.04,358,429
192.24,349,423
192.44,351,423
192.64,354,426
192.84,358,427
193.04,362,428
193.24,364,429
193.44,367,430
193.64,370,432
193.84,372,433
194.04,375,435
194.24,377,435
194.44,377,436
194.64,368,429
194.84,364,429
195.04,355,424
195.24,355,424
195.44,356,425
195.64,359,426
195.84,362,428
196.04,366,429
196.24,370,431
196.44,376,433
196.64,382,436
196.84,382,437
197.04,378,435
197.24,371,431
197.44,364,428
197.64,359,425
197.84,353,422
198.04,352,421
198.24,353,421
198.44,358,424
198.64,364,427
198.84,369,429
199.04,372,430
199.24,375,432
199.44,379,434
199.64,385,437
199.84,364,437
200.04,339,432
200.24,325,422
200.44,306,397
200.64,294,379
200.84,304,392
201.04,336,429
201.24,353,445
201.44,352,430
201.64,364,428
201.84,368,432
202.04,368,431
202.24,362,427
202.44,351,422
202.64,346,420
202.84,345,417
203.04,348,420
203.24,351,422
203.44,355,424
203.64,357,424
203.84,359,425
204.04,362,426
204.24,365,427
204.44,367,428
204.64,370,430
204.84,374,431
205.04,375,431
205.24,376,431
205.44,374,431
205.64,361,424
205.84,346,421
206.04,346,420
206.24,350,423
206.44,355,425
206.64,359,427
206.84,363,429
207.04,366,430
207.24,370,431
207.44,372,433
207.64,373,433
207.84,366,426
208.04,355,426
208.24,349,422
208.44,345,419
208.64,347,420
208.84,354,424
209.04,364,428
209.24,371,431
209.44,375,433
209.64,378,434
209.84,380,435
210.04,383,436
210.24,380,434
210.44,369,428
210.64,355,422
210.84,348,419
211.04,352,422
211.24,358,423
211.44,364,424
211.64,370,426
211.84,375,429
212.04,379,430
212.24,383,432
212.44,387,433
212.64,390,434
212.84,384,439
213.04,355,433
213.24,330,423
213.44,309,402
213.64,295,391
213.84,289,377
214.04,306,392
214.24,344,423
214.44,364,434
214.64,364,431
214.84,363,428
215.04,358,426
215.24,350,419
215.44,355,420
215.64,359,420
215.84,366,421
216.04,372,424
216.24,376,427
216.44,381,429
216.64,385,431
216.84,384,432
217.04,374,430
217.24,367,426
217.44,360,423
217.64,356,420
217.84,357,419
218.04,362,421
218.24,366,423
218.44,369,425
218.64,374,427
218.84,378,430
219.04,383,432
219.24,386,434
219.44,376,427
219.64,361,427
219.84,353,420
220.04,351,416
220.24,354,417
220.44,357,419
220.64,361,421
220.84,365,422
221.04,369,424
221.24,372,427
221.44,376,429
221.64,379,430
221.84,382,432
222.04,382,431
222.24,368,424
222.44,362,421
222.64,354,418
222.84,355,417
223.04,358,419
223.24,362,421
223.44,366,422
223.64,372,424
223.84,375,427
224.04,379,428
224.24,383,430
224.44,384,429
224.64,374,426
224.84,371,426
225.04,355,419
225.24,352,415
225.44,356,418
225.64,362,420
225.84,368,421
226.04,374,423
226.24,379,426
226.44,382,429
226.64,386,431
226.84,391,432
227.04,391,433
227.24,388,432
227.44,377,427
227.64,365,421
227.84,358,418
228.04,354,415
228.24,351,412
228.44,350,408
228.64,350,413
228.84,355,416
229.04,361,418
229.24,367,422
229.44,371,424
229.64,375,427
229.84,376,428
230.04,371,432
230.24,372,432
230.44,372,432
230.64,358,425
230.84,348,420
231.04,348,420
231.24,348,422
231.44,350,423
231.64,351,424
231.84,352,424
232.04,355,424
232.24,358,426
232.44,360,427
232.64,363,428
232.84,366,428
233.04,370,430
233.24,374,431
233.44,378,432
233.64,382,434
233.84,386,435
234.04,389,436
234.24,391,437
234.44,389,436
234.64,384,434
234.84,376,430
235.04,367,427
235.24,361,425
235.44,354,421
235.64,349,420
235.84,349,420
236.04,352,421
236.24,357,423
236.44,362,426
236.64,368,428
236.84,375,431
237.04,381,433
237.24,386,434
237.44,389,436
237.64,392,438
237.84,375,429
238.04,358,429
238.24,349,423
238.44,351,423
238.64,354,426
238.84,358,427
239.04,362,428
239.24,364,429
239.44,367,430
239.64,370,432
239.84,372,433
240.04,375,435
240.24,377,435
240.44,377,436
240.64,368,429
240.84,364,429
241.04,355,424
241.24,355,424
241.44,356,425
241.64,359,426
241.84,362,428
242.04,366,429
242.24,370,431
242.44,376,433
242.64,382,436
242.84,382,437
243.04,378,435
243.24,371,431
243.44,364,428
243.64,359,425
243.84,353,422
244.04,352,421
244.24,353,421
244.44,358,424
244.64,364,427
244.84,369,429
245.04,372,430
245.24,375,432
245.44,379,434
245.64,385,437
245.84,364,437
246.04,339,432
246.24,325,422
246.44,306,397
246.64,294,379
246.84,304,392
247.04,336,429
247.24,353,445
247.44,352,430
247.64,364,428
247.84,368,432
248.04,368,431
248.24,362,427
248.44,351,422
248.64,346,420
248.84,345,417
249.04,348,420
249.24,351,422
249.44,355,424
249.64,357,424
249.84,359,425
250.04,362,426
250.24,365,427
250.44,367,428
250.64,370,430
250.84,374,431
251.04,375,431
251.24,376,431
